id,count
0,101.24
1,225.61
2,79.56
4,31.24
5,72.83
10,126.23
11,203.03
12,306.37
15,37.1
17,117.39
18,309.73
23,256.33
25,104.91
26,37.6
31,209.0
39,162.29
40,25.06
41,175.13
42,362.15
43,160.07
51,233.65
52,86.47
54,15.51
60,141.54
61,149.09
62,116.84
63,28.65
65,125.4
66,109.24
68,147.48
71,70.51
80,30.15
82,71.02
94,131.11
98,271.58
101,32.93
102,131.73
107,87.6
112,222.78
113,81.04
115,53.33
116,126.82
120,160.36
121,84.18
122,335.36
132,193.4
143,93.95
147,66.18
150,18.41
151,84.58
152,258.22
153,89.57
155,174.62
156,77.58
159,198.87
161,134.93
163,43.38
177,175.91
186,13.71
188,18.24
190,100.04
191,75.66
192,274.9
195,306.85
200,143.6
209,315.85
210,14.11
211,224.04
214,125.63
215,26.76
218,106.07
219,33.16
222,124.99
225,13.95
228,322.14
236,231.05
241,35.18
242,183.57
243,241.47
245,16.53
247,257.21
251,124.62
252,97.8
253,80.94
254,84.73
258,314.1
260,57.91
261,154.36
265,114.56
266,289.0
267,305.6
269,152.58
270,69.66
275,103.84
278,36.61
279,77.94
286,103.46
287,29.24
288,190.92
289,143.84
293,18.11
294,161.44
297,45.11
302,122.89
303,70.36
304,70.3
307,104.57
309,17.88
311,156.57
312,136.64
314,183.73
315,246.88
319,173.6
322,120.22
323,67.26
325,128.01
327,245.66
330,36.86
332,221.49
333,18.22
338,104.68
341,108.13
345,187.33
348,130.77
349,44.23
350,120.37
352,53.12
355,17.33
356,197.87
358,54.51
363,133.84
369,152.03
371,21.0
372,137.13
375,309.52
380,127.53
388,43.31
391,131.65
392,255.05
393,364.66
394,206.7
396,27.18
401,38.09
407,107.79
409,91.05
410,113.03
416,120.2
418,127.28
420,152.9
421,200.6
422,133.42
424,288.95
428,337.85
429,210.19
431,161.14
435,12.8
439,116.47
441,12.99
447,94.01
449,135.41
451,133.09
452,17.91
454,210.58
458,208.59
463,129.0
467,14.66
470,230.1
471,154.33
474,296.44
478,16.79
483,125.04
484,121.49
485,85.85
486,128.32
491,100.74
494,100.94
495,240.15
497,209.02
499,165.45
515,111.09
518,199.3
521,193.23
525,155.93
529,252.41
532,142.06
534,109.01
540,114.21
544,303.4
547,163.9
549,42.96
563,36.72
564,135.23
567,124.06
572,114.0
577,132.54
578,274.24
585,342.14
588,135.74
589,124.86
590,108.16
592,16.44
594,214.7
596,13.8
598,337.7
599,144.47
605,34.8
606,132.62
607,253.4
608,224.7
609,67.42
610,280.34
611,191.53
614,129.63
615,220.57
616,255.81
617,126.58
618,242.5
624,116.56
629,137.26
631,88.77
633,98.3
637,25.28
638,106.57
643,62.58
644,134.93
645,35.09
646,216.03
648,185.65
650,39.86
651,206.11
652,269.99
656,108.79
657,17.53
659,89.43
660,198.16
662,99.73
665,366.95
675,328.0
681,158.01
682,206.3
685,19.06
686,217.36
689,24.95
696,130.45
703,152.01
704,97.39
705,125.08
714,230.65
717,105.72
718,14.55
720,94.75
721,266.2
723,223.52
726,199.22
728,131.66
730,201.97
731,27.99
734,343.9
737,69.61
738,19.14
745,168.89
746,27.06
749,230.8
752,25.86
753,175.43
758,242.31
765,16.14
766,230.68
768,81.44
769,196.91
774,126.96
775,111.2
781,52.39
784,330.78
794,18.18
795,274.37
796,82.05
802,166.88
803,217.58
805,33.3
806,292.01
807,102.28
809,16.89
810,176.33
812,203.69
814,116.5
818,246.96
819,130.95
825,71.98
836,108.66
839,127.22
847,268.75
848,184.11
851,114.84
852,137.38
853,32.91
857,145.25
858,41.03
859,217.32
861,23.44
867,102.18
870,219.98
871,212.27
872,209.67
874,344.34
881,218.67
886,133.55
890,56.76
895,165.12
899,85.27
900,275.46
901,254.67
902,251.01
903,41.1
913,259.53
918,207.15
923,119.88
924,37.18
926,27.79
927,19.47
930,217.99
934,32.19
937,125.51
939,160.24
941,96.66
942,359.44
946,279.16
950,100.25
953,86.93
959,106.9
961,29.36
962,102.35
964,65.91
969,178.78
971,139.72
976,40.72
978,250.54
980,235.4
981,146.4
990,350.44
993,18.29
996,19.59
998,323.64
999,175.58
1006,120.78
1008,13.93
1013,27.83
1015,99.02
1016,121.8
1022,311.2
1026,221.88
1028,239.77
1031,76.42
1034,45.94
1037,197.43
1040,63.51
1042,18.27
1046,17.69
1048,98.48
1049,108.31
1050,65.37
1051,189.33
1052,238.94
1055,194.41
1060,149.86
1064,28.88
1066,78.24
1071,98.73
1073,14.29
1089,195.04
1091,97.18
1092,73.72
1093,239.04
1096,316.89
1097,220.73
1098,17.39
1099,37.92
1102,172.42
1107,104.28
1109,40.95
1111,130.78
1112,115.39
1114,309.91
1116,289.18
1117,123.05
1118,87.91
1122,138.33
1124,171.88
1127,116.67
1133,218.28
1134,36.73
1135,138.72
1139,298.5
1143,48.15
1150,117.17
1151,111.65
1153,269.01
1155,28.48
1162,30.29
1163,204.92
1166,21.75
1171,87.84
1172,14.4
1173,259.12
1174,85.97
1177,123.68
1178,147.34
1184,189.54
1185,111.29
1186,119.47
1187,171.3
1188,280.78
1191,140.79
1207,119.76
1213,44.44
1215,130.22
1223,177.37
1227,119.55
1236,51.42
1237,50.5
1238,18.7
1241,29.4
1248,16.95
1250,37.23
1251,167.35
1253,115.0
1255,97.77
1257,170.27
1261,115.21
1262,329.54
1265,133.44
1273,180.95
1277,261.84
1278,113.08
1280,114.93
1284,230.17
1285,327.73
1288,34.06
1295,116.94
1297,337.57
1299,257.16
1304,153.78
1308,41.57
1310,97.09
1311,117.71
1314,94.69
1315,112.36
1318,29.84
1320,330.84
1321,301.1
1322,241.62
1330,117.0
1333,167.16
1334,218.57
1341,138.05
1344,152.32
1351,227.24
1354,106.92
1356,46.32
1363,122.25
1365,194.47
1369,130.77
1373,114.74
1375,113.86
1377,84.24
1379,137.16
1380,278.49
1381,99.71
1384,172.56
1390,186.55
1393,245.44
1395,49.12
1399,309.45
1400,100.49
1401,171.5
1404,176.41
1408,14.33
1409,29.25
1413,218.87
1416,276.87
1418,101.38
1423,99.31
1424,28.16
1425,16.19
1433,234.81
1434,155.57
1436,320.89
1442,246.44
1444,86.36
1445,116.57
1452,213.24
1455,168.46
1462,64.16
1467,85.04
1472,42.03
1475,186.45
1493,112.28
1501,225.67
1503,290.87
1504,227.61
1505,14.36
1511,229.01
1512,51.57
1513,84.79
1514,39.16
1528,241.11
1533,244.4
1534,29.32
1536,156.1
1537,75.79
1539,216.35
1550,214.11
1552,218.45
1554,204.65
1555,349.86
1556,102.41
1559,35.99
